epoch,iso_utc,http_code,latency_ms,success,curl_exit,error
1771618235,2026-02-20T20:10:35Z,200,357.353,1,0,
1771618241,2026-02-20T20:10:41Z,200,485.078,1,0,
1771618246,2026-02-20T20:10:46Z,200,702.333,1,0,
1771618252,2026-02-20T20:10:52Z,200,215.317,1,0,
1771618258,2026-02-20T20:10:58Z,200,550.706,1,0,
1771618263,2026-02-20T20:11:03Z,200,701.175,1,0,
1771618269,2026-02-20T20:11:09Z,200,442.605,1,0,
1771618275,2026-02-20T20:11:15Z,200,224.151,1,0,
1771618280,2026-02-20T20:11:20Z,200,972.816,1,0,
1771618286,2026-02-20T20:11:26Z,200,330.929,1,0,
1771618292,2026-02-20T20:11:32Z,200,276.456,1,0,
1771618297,2026-02-20T20:11:37Z,200,396.637,1,0,
1771618303,2026-02-20T20:11:43Z,200,234.425,1,0,
1771618308,2026-02-20T20:11:48Z,200,222.288,1,0,
1771618314,2026-02-20T20:11:54Z,200,358.214,1,0,
1771618319,2026-02-20T20:11:59Z,200,245.517,1,0,
1771618325,2026-02-20T20:12:05Z,200,391.745,1,0,
1771618331,2026-02-20T20:12:11Z,200,787.885,1,0,
1771618337,2026-02-20T20:12:17Z,200,980.430,1,0,
1771618343,2026-02-20T20:12:23Z,200,244.300,1,0,
1771618348,2026-02-20T20:12:28Z,200,673.610,1,0,
1771618354,2026-02-20T20:12:34Z,200,270.805,1,0,
1771618359,2026-02-20T20:12:40Z,200,334.325,1,0,
1771618365,2026-02-20T20:12:45Z,200,509.388,1,0,
1771618371,2026-02-20T20:12:51Z,200,369.752,1,0,
1771618376,2026-02-20T20:12:56Z,200,349.541,1,0,
1771618382,2026-02-20T20:13:02Z,200,485.958,1,0,
1771618388,2026-02-20T20:13:08Z,200,408.231,1,0,
1771618393,2026-02-20T20:13:13Z,200,446.414,1,0,
1771618399,2026-02-20T20:13:19Z,200,246.660,1,0,
1771618404,2026-02-20T20:13:24Z,200,265.857,1,0,
1771618410,2026-02-20T20:13:30Z,200,391.790,1,0,
1771618415,2026-02-20T20:13:35Z,200,184.725,1,0,
1771618421,2026-02-20T20:13:41Z,200,418.203,1,0,
1771618427,2026-02-20T20:13:47Z,200,320.391,1,0,
1771618432,2026-02-20T20:13:52Z,200,175.365,1,0,
1771618437,2026-02-20T20:13:57Z,200,607.487,1,0,
1771618443,2026-02-20T20:14:03Z,200,664.811,1,0,
1771618450,2026-02-20T20:14:10Z,200,890.420,1,0,
1771618456,2026-02-20T20:14:16Z,200,673.798,1,0,
1771618462,2026-02-20T20:14:22Z,200,305.830,1,0,
1771618468,2026-02-20T20:14:28Z,200,360.809,1,0,
1771618473,2026-02-20T20:14:33Z,200,193.948,1,0,
1771618479,2026-02-20T20:14:39Z,200,240.333,1,0,
1771618485,2026-02-20T20:14:45Z,200,365.097,1,0,
1771618490,2026-02-20T20:14:50Z,200,468.567,1,0,
1771618496,2026-02-20T20:14:56Z,200,480.096,1,0,
1771618502,2026-02-20T20:15:02Z,200,1024.689,1,0,
1771618509,2026-02-20T20:15:09Z,200,755.632,1,0,
1771618515,2026-02-20T20:15:15Z,200,355.300,1,0,
1771618520,2026-02-20T20:15:20Z,200,301.167,1,0,
1771618526,2026-02-20T20:15:26Z,200,282.055,1,0,
1771618531,2026-02-20T20:15:31Z,200,483.731,1,0,
1771618537,2026-02-20T20:15:37Z,200,762.405,1,0,
1771618543,2026-02-20T20:15:43Z,200,388.165,1,0,
1771618549,2026-02-20T20:15:49Z,200,252.939,1,0,
1771618554,2026-02-20T20:15:54Z,200,415.575,1,0,
1771618560,2026-02-20T20:16:00Z,200,578.160,1,0,
1771618566,2026-02-20T20:16:06Z,200,300.507,1,0,
1771618571,2026-02-20T20:16:11Z,200,857.126,1,0,
1771618577,2026-02-20T20:16:17Z,200,213.459,1,0,
1771618582,2026-02-20T20:16:22Z,200,363.714,1,0,
1771618588,2026-02-20T20:16:28Z,200,584.109,1,0,
1771618594,2026-02-20T20:16:34Z,200,810.698,1,0,
1771618600,2026-02-20T20:16:40Z,200,190.702,1,0,
1771618605,2026-02-20T20:16:45Z,200,218.630,1,0,
1771618611,2026-02-20T20:16:51Z,200,415.444,1,0,
1771618616,2026-02-20T20:16:56Z,200,356.525,1,0,
1771618622,2026-02-20T20:17:02Z,200,552.020,1,0,
1771618627,2026-02-20T20:17:08Z,200,494.181,1,0,
1771618633,2026-02-20T20:17:13Z,200,253.305,1,0,
1771618639,2026-02-20T20:17:19Z,200,328.025,1,0,
1771618644,2026-02-20T20:17:24Z,200,314.281,1,0,
1771618650,2026-02-20T20:17:30Z,200,395.602,1,0,
1771618655,2026-02-20T20:17:35Z,200,401.118,1,0,
1771618661,2026-02-20T20:17:41Z,200,274.794,1,0,
1771618666,2026-02-20T20:17:46Z,200,611.097,1,0,
1771618672,2026-02-20T20:17:52Z,200,2344.305,1,0,
1771618680,2026-02-20T20:18:00Z,200,299.792,1,0,
1771618685,2026-02-20T20:18:05Z,200,341.823,1,0,
1771618691,2026-02-20T20:18:11Z,200,559.021,1,0,
1771618697,2026-02-20T20:18:17Z,200,308.904,1,0,
1771618702,2026-02-20T20:18:22Z,200,202.546,1,0,
1771618708,2026-02-20T20:18:28Z,200,277.584,1,0,
1771618713,2026-02-20T20:18:33Z,200,238.755,1,0,
1771618718,2026-02-20T20:18:38Z,200,409.640,1,0,
1771618724,2026-02-20T20:18:44Z,200,870.625,1,0,
1771618730,2026-02-20T20:18:50Z,200,474.578,1,0,
1771618736,2026-02-20T20:18:56Z,200,286.721,1,0,
1771618741,2026-02-20T20:19:01Z,200,218.009,1,0,
1771618747,2026-02-20T20:19:07Z,200,198.400,1,0,
1771618752,2026-02-20T20:19:12Z,200,341.305,1,0,
1771618758,2026-02-20T20:19:18Z,200,257.251,1,0,
1771618763,2026-02-20T20:19:23Z,200,1046.891,1,0,
1771618769,2026-02-20T20:19:29Z,200,510.413,1,0,
1771618775,2026-02-20T20:19:35Z,200,538.283,1,0,
1771618781,2026-02-20T20:19:41Z,200,397.840,1,0,
1771618787,2026-02-20T20:19:47Z,200,370.610,1,0,
1771618792,2026-02-20T20:19:52Z,200,352.618,1,0,
1771618798,2026-02-20T20:19:58Z,200,359.017,1,0,
1771618803,2026-02-20T20:20:03Z,200,746.454,1,0,
1771618809,2026-02-20T20:20:09Z,200,260.017,1,0,
1771618815,2026-02-20T20:20:15Z,200,279.278,1,0,
1771618820,2026-02-20T20:20:20Z,200,552.060,1,0,
1771618826,2026-02-20T20:20:26Z,200,297.099,1,0,
1771618832,2026-02-20T20:20:32Z,200,371.050,1,0,
1771618837,2026-02-20T20:20:37Z,200,487.189,1,0,
1771618843,2026-02-20T20:20:43Z,200,571.461,1,0,
1771618849,2026-02-20T20:20:49Z,200,603.143,1,0,
1771618855,2026-02-20T20:20:55Z,200,349.452,1,0,
1771618861,2026-02-20T20:21:01Z,200,889.608,1,0,
1771618867,2026-02-20T20:21:07Z,200,280.825,1,0,
1771618872,2026-02-20T20:21:12Z,200,871.145,1,0,
1771618879,2026-02-20T20:21:19Z,200,249.950,1,0,
1771618884,2026-02-20T20:21:24Z,200,199.481,1,0,
1771618889,2026-02-20T20:21:29Z,200,279.987,1,0,
1771618895,2026-02-20T20:21:35Z,200,448.007,1,0,
1771618901,2026-02-20T20:21:41Z,200,253.538,1,0,
1771618906,2026-02-20T20:21:46Z,200,366.739,1,0,
1771618912,2026-02-20T20:21:52Z,200,235.039,1,0,
1771618917,2026-02-20T20:21:57Z,200,339.618,1,0,
1771618923,2026-02-20T20:22:03Z,200,836.190,1,0,
1771618929,2026-02-20T20:22:09Z,200,405.071,1,0,
1771618934,2026-02-20T20:22:14Z,200,629.787,1,0,
1771618940,2026-02-20T20:22:20Z,200,466.958,1,0,
1771618946,2026-02-20T20:22:26Z,200,544.926,1,0,
1771618952,2026-02-20T20:22:32Z,200,629.366,1,0,
1771618958,2026-02-20T20:22:38Z,200,346.716,1,0,
1771618963,2026-02-20T20:22:43Z,200,479.986,1,0,
1771618969,2026-02-20T20:22:49Z,200,444.578,1,0,
1771618975,2026-02-20T20:22:55Z,200,504.585,1,0,
1771618980,2026-02-20T20:23:00Z,200,856.987,1,0,
1771618986,2026-02-20T20:23:06Z,200,418.138,1,0,
1771618992,2026-02-20T20:23:12Z,200,489.182,1,0,
1771618998,2026-02-20T20:23:18Z,200,356.606,1,0,
1771619003,2026-02-20T20:23:23Z,200,449.148,1,0,
1771619009,2026-02-20T20:23:29Z,200,475.297,1,0,
1771619015,2026-02-20T20:23:35Z,200,425.092,1,0,
1771619020,2026-02-20T20:23:40Z,200,269.461,1,0,
1771619026,2026-02-20T20:23:46Z,200,358.370,1,0,
1771619031,2026-02-20T20:23:51Z,200,305.198,1,0,
1771619037,2026-02-20T20:23:57Z,200,256.876,1,0,
1771619042,2026-02-20T20:24:02Z,200,310.524,1,0,
1771619048,2026-02-20T20:24:08Z,200,300.966,1,0,
1771619054,2026-02-20T20:24:14Z,200,946.630,1,0,
1771619060,2026-02-20T20:24:20Z,200,740.292,1,0,
1771619066,2026-02-20T20:24:26Z,200,298.662,1,0,
1771619071,2026-02-20T20:24:31Z,200,301.436,1,0,
1771619077,2026-02-20T20:24:37Z,200,183.022,1,0,
1771619082,2026-02-20T20:24:42Z,200,492.393,1,0,
1771619088,2026-02-20T20:24:48Z,200,599.784,1,0,
1771619094,2026-02-20T20:24:54Z,200,646.464,1,0,
1771619099,2026-02-20T20:24:59Z,200,1439.460,1,0,
1771619106,2026-02-20T20:25:06Z,200,441.483,1,0,
1771619112,2026-02-20T20:25:12Z,200,313.385,1,0,
1771619118,2026-02-20T20:25:18Z,200,1130.715,1,0,
1771619124,2026-02-20T20:25:24Z,200,1252.498,1,0,
1771619130,2026-02-20T20:25:30Z,200,367.435,1,0,
1771619136,2026-02-20T20:25:36Z,200,603.749,1,0,
1771619142,2026-02-20T20:25:42Z,200,339.250,1,0,
1771619147,2026-02-20T20:25:47Z,200,252.513,1,0,
1771619153,2026-02-20T20:25:53Z,200,1208.342,1,0,
1771619159,2026-02-20T20:25:59Z,200,278.103,1,0,
1771619165,2026-02-20T20:26:05Z,200,694.747,1,0,
1771619170,2026-02-20T20:26:11Z,200,929.485,1,0,
1771619177,2026-02-20T20:26:17Z,200,286.310,1,0,
1771619182,2026-02-20T20:26:22Z,200,401.605,1,0,
1771619188,2026-02-20T20:26:28Z,200,315.748,1,0,
1771619194,2026-02-20T20:26:34Z,200,272.253,1,0,
1771619199,2026-02-20T20:26:39Z,200,450.458,1,0,
1771619205,2026-02-20T20:26:45Z,200,404.324,1,0,
1771619210,2026-02-20T20:26:50Z,200,212.771,1,0,
1771619216,2026-02-20T20:26:56Z,200,653.308,1,0,
1771619222,2026-02-20T20:27:02Z,200,719.126,1,0,
1771619228,2026-02-20T20:27:08Z,200,392.559,1,0,
1771619233,2026-02-20T20:27:13Z,200,385.573,1,0,
1771619239,2026-02-20T20:27:19Z,200,1337.287,1,0,
1771619246,2026-02-20T20:27:26Z,200,364.878,1,0,
1771619251,2026-02-20T20:27:31Z,200,384.696,1,0,
1771619257,2026-02-20T20:27:37Z,200,598.188,1,0,
1771619263,2026-02-20T20:27:43Z,200,600.085,1,0,
1771619269,2026-02-20T20:27:49Z,200,290.296,1,0,
1771619274,2026-02-20T20:27:54Z,200,293.249,1,0,
1771619280,2026-02-20T20:28:00Z,200,705.687,1,0,
1771619286,2026-02-20T20:28:06Z,200,710.695,1,0,
1771619292,2026-02-20T20:28:12Z,200,405.852,1,0,
1771619298,2026-02-20T20:28:18Z,200,673.765,1,0,
1771619304,2026-02-20T20:28:24Z,200,370.277,1,0,
1771619309,2026-02-20T20:28:29Z,200,289.716,1,0,
1771619315,2026-02-20T20:28:35Z,200,531.582,1,0,
1771619321,2026-02-20T20:28:41Z,200,185.006,1,0,
1771619326,2026-02-20T20:28:46Z,200,190.978,1,0,
1771619332,2026-02-20T20:28:52Z,200,329.580,1,0,
1771619337,2026-02-20T20:28:57Z,200,372.522,1,0,
1771619343,2026-02-20T20:29:03Z,200,351.616,1,0,
1771619348,2026-02-20T20:29:08Z,200,403.674,1,0,
1771619354,2026-02-20T20:29:14Z,200,654.869,1,0,
1771619360,2026-02-20T20:29:20Z,200,358.262,1,0,
1771619365,2026-02-20T20:29:25Z,200,263.579,1,0,
1771619371,2026-02-20T20:29:31Z,200,1347.901,1,0,
1771619378,2026-02-20T20:29:38Z,200,594.313,1,0,
1771619383,2026-02-20T20:29:43Z,200,411.100,1,0,
1771619389,2026-02-20T20:29:49Z,200,272.416,1,0,
1771619395,2026-02-20T20:29:55Z,200,288.253,1,0,
1771619400,2026-02-20T20:30:00Z,200,879.418,1,0,
1771619406,2026-02-20T20:30:06Z,200,228.951,1,0,
1771619412,2026-02-20T20:30:12Z,200,960.505,1,0,
1771619418,2026-02-20T20:30:18Z,200,296.478,1,0,
1771619423,2026-02-20T20:30:23Z,200,299.171,1,0,
1771619429,2026-02-20T20:30:29Z,200,890.749,1,0,
1771619435,2026-02-20T20:30:35Z,200,430.905,1,0,
1771619441,2026-02-20T20:30:41Z,200,442.726,1,0,
1771619447,2026-02-20T20:30:47Z,200,242.313,1,0,
1771619452,2026-02-20T20:30:52Z,200,445.258,1,0,
1771619458,2026-02-20T20:30:58Z,200,484.528,1,0,
1771619464,2026-02-20T20:31:04Z,200,392.740,1,0,
1771619469,2026-02-20T20:31:09Z,200,205.393,1,0,
1771619475,2026-02-20T20:31:15Z,200,221.793,1,0,
1771619480,2026-02-20T20:31:20Z,200,667.079,1,0,
1771619486,2026-02-20T20:31:26Z,200,444.239,1,0,
1771619492,2026-02-20T20:31:32Z,200,255.243,1,0,
1771619497,2026-02-20T20:31:37Z,200,453.718,1,0,
1771619503,2026-02-20T20:31:43Z,200,241.848,1,0,
1771619509,2026-02-20T20:31:49Z,200,258.977,1,0,
1771619514,2026-02-20T20:31:54Z,200,201.392,1,0,
1771619520,2026-02-20T20:32:00Z,200,406.602,1,0,
1771619525,2026-02-20T20:32:05Z,200,396.443,1,0,
1771619531,2026-02-20T20:32:11Z,200,433.639,1,0,
1771619536,2026-02-20T20:32:16Z,200,452.225,1,0,
1771619542,2026-02-20T20:32:22Z,200,330.564,1,0,
1771619548,2026-02-20T20:32:28Z,200,184.497,1,0,
1771619553,2026-02-20T20:32:33Z,200,672.989,1,0,
1771619559,2026-02-20T20:32:39Z,200,188.069,1,0,
1771619564,2026-02-20T20:32:44Z,200,421.456,1,0,
1771619570,2026-02-20T20:32:50Z,200,258.056,1,0,
1771619576,2026-02-20T20:32:56Z,200,327.382,1,0,
1771619581,2026-02-20T20:33:01Z,200,245.646,1,0,
1771619587,2026-02-20T20:33:07Z,200,378.904,1,0,
1771619592,2026-02-20T20:33:12Z,200,229.048,1,0,
1771619598,2026-02-20T20:33:18Z,200,290.853,1,0,
1771619603,2026-02-20T20:33:23Z,200,871.575,1,0,
1771619609,2026-02-20T20:33:29Z,200,287.597,1,0,
1771619615,2026-02-20T20:33:35Z,200,299.575,1,0,
1771619620,2026-02-20T20:33:40Z,200,426.690,1,0,
1771619626,2026-02-20T20:33:46Z,200,574.067,1,0,
1771619632,2026-02-20T20:33:52Z,200,166.268,1,0,
1771619637,2026-02-20T20:33:57Z,200,773.252,1,0,
1771619643,2026-02-20T20:34:03Z,200,409.830,1,0,
1771619649,2026-02-20T20:34:09Z,200,549.363,1,0,
1771619655,2026-02-20T20:34:15Z,200,199.752,1,0,
1771619660,2026-02-20T20:34:20Z,200,355.695,1,0,
1771619666,2026-02-20T20:34:26Z,200,377.159,1,0,
1771619671,2026-02-20T20:34:31Z,200,392.173,1,0,
1771619677,2026-02-20T20:34:37Z,200,553.389,1,0,
1771619683,2026-02-20T20:34:43Z,200,245.399,1,0,
1771619688,2026-02-20T20:34:48Z,200,270.845,1,0,
1771619694,2026-02-20T20:34:54Z,200,398.124,1,0,
1771619699,2026-02-20T20:34:59Z,200,234.639,1,0,
1771619705,2026-02-20T20:35:05Z,200,1041.861,1,0,
1771619711,2026-02-20T20:35:11Z,200,359.087,1,0,
1771619716,2026-02-20T20:35:16Z,200,573.546,1,0,
1771619722,2026-02-20T20:35:22Z,200,453.580,1,0,
1771619728,2026-02-20T20:35:28Z,200,623.742,1,0,
1771619734,2026-02-20T20:35:34Z,200,274.117,1,0,
1771619740,2026-02-20T20:35:40Z,200,284.202,1,0,
1771619745,2026-02-20T20:35:45Z,200,360.404,1,0,
1771619751,2026-02-20T20:35:51Z,200,392.674,1,0,
1771619757,2026-02-20T20:35:57Z,200,392.667,1,0,
1771619763,2026-02-20T20:36:03Z,200,581.823,1,0,
1771619769,2026-02-20T20:36:09Z,200,303.657,1,0,
1771619775,2026-02-20T20:36:15Z,200,302.425,1,0,
1771619781,2026-02-20T20:36:21Z,200,348.378,1,0,
1771619787,2026-02-20T20:36:27Z,200,285.441,1,0,
1771619793,2026-02-20T20:36:33Z,200,309.644,1,0,
1771619799,2026-02-20T20:36:39Z,200,220.142,1,0,
1771619805,2026-02-20T20:36:45Z,200,360.439,1,0,
1771619811,2026-02-20T20:36:51Z,200,195.771,1,0,
1771619816,2026-02-20T20:36:56Z,200,261.516,1,0,
1771619822,2026-02-20T20:37:02Z,200,233.335,1,0,
1771619827,2026-02-20T20:37:07Z,200,715.484,1,0,
1771619833,2026-02-20T20:37:13Z,200,575.115,1,0,
1771619839,2026-02-20T20:37:19Z,200,386.480,1,0,
1771619845,2026-02-20T20:37:25Z,200,549.316,1,0,
1771619851,2026-02-20T20:37:31Z,200,637.794,1,0,
1771619856,2026-02-20T20:37:36Z,200,299.163,1,0,
1771619862,2026-02-20T20:37:42Z,200,328.968,1,0,
1771619867,2026-02-20T20:37:47Z,200,292.507,1,0,
1771619873,2026-02-20T20:37:53Z,200,493.770,1,0,
1771619879,2026-02-20T20:37:59Z,200,315.798,1,0,
1771619884,2026-02-20T20:38:04Z,200,999.558,1,0,
1771619891,2026-02-20T20:38:11Z,200,189.819,1,0,
1771619896,2026-02-20T20:38:16Z,200,314.134,1,0,
1771619902,2026-02-20T20:38:22Z,200,344.526,1,0,
1771619907,2026-02-20T20:38:27Z,200,1257.849,1,0,
1771619914,2026-02-20T20:38:34Z,200,571.209,1,0,
1771619919,2026-02-20T20:38:39Z,200,303.964,1,0,
1771619925,2026-02-20T20:38:45Z,200,262.158,1,0,
1771619931,2026-02-20T20:38:51Z,200,370.542,1,0,
1771619936,2026-02-20T20:38:56Z,200,244.525,1,0,
1771619942,2026-02-20T20:39:02Z,200,642.356,1,0,
1771619947,2026-02-20T20:39:07Z,200,574.834,1,0,
1771619953,2026-02-20T20:39:13Z,200,1299.060,1,0,
1771619960,2026-02-20T20:39:20Z,200,275.874,1,0,
1771619965,2026-02-20T20:39:25Z,200,534.072,1,0,
1771619971,2026-02-20T20:39:31Z,200,653.098,1,0,
1771619977,2026-02-20T20:39:37Z,200,570.763,1,0,
1771619983,2026-02-20T20:39:43Z,200,296.559,1,0,
1771619988,2026-02-20T20:39:48Z,200,221.264,1,0,
1771619994,2026-02-20T20:39:54Z,200,427.423,1,0,
1771620000,2026-02-20T20:40:00Z,200,4058.672,1,0,
1771620009,2026-02-20T20:40:09Z,200,310.550,1,0,
1771620014,2026-02-20T20:40:15Z,200,638.285,1,0,
1771620020,2026-02-20T20:40:20Z,200,396.910,1,0,
1771620026,2026-02-20T20:40:26Z,200,774.518,1,0,
1771620032,2026-02-20T20:40:32Z,200,487.912,1,0,
1771620038,2026-02-20T20:40:38Z,200,619.805,1,0,
1771620044,2026-02-20T20:40:44Z,200,619.396,1,0,
1771620050,2026-02-20T20:40:50Z,200,570.385,1,0,
1771620055,2026-02-20T20:40:55Z,200,534.324,1,0,
1771620061,2026-02-20T20:41:01Z,200,680.537,1,0,
1771620067,2026-02-20T20:41:07Z,200,686.212,1,0,
1771620073,2026-02-20T20:41:13Z,200,973.666,1,0,
1771620079,2026-02-20T20:41:19Z,200,369.212,1,0,
1771620085,2026-02-20T20:41:25Z,200,469.655,1,0,
1771620091,2026-02-20T20:41:31Z,200,314.357,1,0,
1771620096,2026-02-20T20:41:36Z,200,174.809,1,0,
1771620102,2026-02-20T20:41:42Z,200,233.600,1,0,
1771620107,2026-02-20T20:41:47Z,200,372.001,1,0,
1771620113,2026-02-20T20:41:53Z,200,188.068,1,0,
1771620118,2026-02-20T20:41:58Z,200,575.112,1,0,
1771620124,2026-02-20T20:42:04Z,200,249.823,1,0,
1771620129,2026-02-20T20:42:09Z,200,296.391,1,0,
1771620135,2026-02-20T20:42:15Z,200,724.664,1,0,
1771620141,2026-02-20T20:42:21Z,200,313.099,1,0,
1771620147,2026-02-20T20:42:27Z,200,439.436,1,0,
1771620152,2026-02-20T20:42:32Z,200,282.319,1,0,
1771620158,2026-02-20T20:42:38Z,200,476.683,1,0,
1771620164,2026-02-20T20:42:44Z,200,362.820,1,0,
1771620169,2026-02-20T20:42:49Z,200,244.977,1,0,
1771620175,2026-02-20T20:42:55Z,200,329.175,1,0,
1771620181,2026-02-20T20:43:01Z,200,335.103,1,0,
1771620186,2026-02-20T20:43:06Z,200,426.186,1,0,
1771620192,2026-02-20T20:43:12Z,200,321.835,1,0,
1771620197,2026-02-20T20:43:17Z,200,1024.580,1,0,
1771620204,2026-02-20T20:43:24Z,200,290.076,1,0,
1771620209,2026-02-20T20:43:29Z,200,178.631,1,0,
1771620215,2026-02-20T20:43:35Z,200,275.662,1,0,
1771620220,2026-02-20T20:43:40Z,200,655.095,1,0,
1771620226,2026-02-20T20:43:46Z,200,240.542,1,0,
1771620231,2026-02-20T20:43:51Z,200,526.776,1,0,
1771620237,2026-02-20T20:43:57Z,200,359.112,1,0,
1771620243,2026-02-20T20:44:03Z,200,283.954,1,0,
1771620248,2026-02-20T20:44:08Z,200,442.328,1,0,
1771620254,2026-02-20T20:44:14Z,200,487.167,1,0,
1771620260,2026-02-20T20:44:20Z,200,356.795,1,0,
1771620265,2026-02-20T20:44:25Z,200,383.785,1,0,
1771620271,2026-02-20T20:44:31Z,200,209.681,1,0,
1771620277,2026-02-20T20:44:37Z,200,516.755,1,0,
1771620282,2026-02-20T20:44:42Z,200,340.620,1,0,
1771620288,2026-02-20T20:44:48Z,200,741.253,1,0,
1771620294,2026-02-20T20:44:54Z,200,1840.048,1,0,
1771620301,2026-02-20T20:45:01Z,200,184.463,1,0,
1771620306,2026-02-20T20:45:06Z,200,379.912,1,0,
1771620312,2026-02-20T20:45:12Z,200,281.841,1,0,
1771620317,2026-02-20T20:45:17Z,200,612.062,1,0,
1771620323,2026-02-20T20:45:23Z,200,399.589,1,0,
1771620329,2026-02-20T20:45:29Z,200,991.865,1,0,
1771620335,2026-02-20T20:45:35Z,200,298.700,1,0,
1771620341,2026-02-20T20:45:41Z,200,331.240,1,0,
1771620346,2026-02-20T20:45:46Z,200,309.005,1,0,
1771620352,2026-02-20T20:45:52Z,200,346.954,1,0,
1771620357,2026-02-20T20:45:57Z,200,299.653,1,0,
1771620363,2026-02-20T20:46:03Z,200,408.187,1,0,
1771620369,2026-02-20T20:46:09Z,200,387.252,1,0,
1771620374,2026-02-20T20:46:14Z,200,511.074,1,0,
1771620380,2026-02-20T20:46:20Z,200,440.534,1,0,
1771620386,2026-02-20T20:46:26Z,200,284.617,1,0,
1771620391,2026-02-20T20:46:31Z,200,254.837,1,0,
1771620397,2026-02-20T20:46:37Z,200,732.060,1,0,
1771620403,2026-02-20T20:46:43Z,200,367.383,1,0,
1771620408,2026-02-20T20:46:48Z,200,1896.459,1,0,
1771620415,2026-02-20T20:46:55Z,200,212.043,1,0,
1771620421,2026-02-20T20:47:01Z,200,707.181,1,0,
